,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time
63,25,ex_25,3,minkowski,1,sheppard,relieff,0.9883567465499018,0.002747923657845806,3.869671440124512,0.23193511517746848
64,56,ex_56,7,minkowski,1,majority,IG,0.9883557546632895,0.003093170120892771,3.6938391447067263,0.15361205288974003
65,26,ex_26,3,minkowski,1,sheppard,IG,0.9882643513562808,0.0030017373687627855,3.973982810974121,0.09765076548618641
66,40,ex_40,5,minkowski,1,IDW,relieff,0.9867186427865482,0.00254273361344297,3.680597925186157,0.1785195512783592
67,43,ex_43,5,minkowski,1,sheppard,relieff,0.9865363278337416,0.0026907896547075753,3.5981431007385254,0.22538343878176073
68,37,ex_37,5,minkowski,1,majority,relieff,0.9865363278337416,0.0026907896547075753,3.410858130455017,0.08929768279919373
69,58,ex_58,7,minkowski,1,IDW,relieff,0.9864452510447052,0.0025530428861199645,3.8285314321517943,0.061171264216166775
70,61,ex_61,7,minkowski,1,sheppard,relieff,0.9859898774874264,0.002547896657955641,3.8083446264266967,0.1376527603016964
71,55,ex_55,7,minkowski,1,majority,relieff,0.9859898774874264,0.002547896657955641,3.332614779472351,0.09506066734340723
72,102,ex_102,7,cosine,,IDW,equal,0.6592140168893176,0.011266614504879402,3.284669208526611,0.054052549346147866
73,105,ex_105,7,cosine,,sheppard,equal,0.6585788896927273,0.011897644601863619,3.1913857221603394,0.07571415951329445
74,99,ex_99,7,cosine,,majority,equal,0.6585788896927273,0.011897644601863619,3.2180049896240233,0.09336457111874227
75,93,ex_93,5,cosine,,IDW,equal,0.6444755401235136,0.011176704015196662,3.4121857643127442,0.06471586607561447
76,96,ex_96,5,cosine,,sheppard,equal,0.643659835701821,0.012621139831830486,3.169939422607422,0.10920613306478044
77,90,ex_90,5,cosine,,majority,equal,0.643659835701821,0.012621139831830486,3.135087752342224,0.08189497794252609
78,84,ex_84,3,cosine,,IDW,equal,0.6340133573637066,0.010330927734097483,3.4088315963745117,0.09872844701690363
79,81,ex_81,3,cosine,,majority,equal,0.6319214511236733,0.010849147249237787,3.3335893630981444,0.24526087011293124
80,87,ex_87,3,cosine,,sheppard,equal,0.6319214511236733,0.010849147249237787,3.2504865646362306,0.04868065347611582
81,72,ex_72,1,cosine,,majority,equal,0.603531127949122,0.010661076702414427,3.094944930076599,0.03851654375413463
82,78,ex_78,1,cosine,,sheppard,equal,0.603531127949122,0.010661076702414427,3.1524091243743895,0.029742101872170225
83,75,ex_75,1,cosine,,IDW,equal,0.603531127949122,0.010661076702414427,3.319191002845764,0.021120001313911427
84,104,ex_104,7,cosine,,IDW,IG,0.5796918727021169,0.016295647222337586,3.283379006385803,0.05810842010281281
85,101,ex_101,7,cosine,,majority,IG,0.5793381606338228,0.016727067878592485,3.089282822608948,0.06934945506176832
86,107,ex_107,7,cosine,,sheppard,IG,0.5761558393761128,0.016223806404089134,3.0569763660430906,0.02616964183310251
87,95,ex_95,5,cosine,,IDW,IG,0.569971859344075,0.01688796665508029,3.2681264638900758,0.07455431707767955
88,98,ex_98,5,cosine,,sheppard,IG,0.5669636663031872,0.012620810913949211,3.3499170303344727,0.16300438639158227
89,92,ex_92,5,cosine,,majority,IG,0.565785069695367,0.01705432807750566,3.0935884714126587,0.05465524657743415
90,86,ex_86,3,cosine,,IDW,IG,0.5557719048903701,0.015108953681354039,3.3431429147720335,0.028945792500877275
91,89,ex_89,3,cosine,,sheppard,IG,0.5538637884151395,0.014482865431555214,3.1741191148757935,0.08060936791443826
92,83,ex_83,3,cosine,,majority,IG,0.5525940468920865,0.011932075209888291,3.1104456424713134,0.07166988653370371
93,77,ex_77,1,cosine,,IDW,IG,0.5083614293019993,0.015150538581220781,3.3095478057861327,0.148874363953145
94,74,ex_74,1,cosine,,majority,IG,0.505900849797665,0.017856418025769365,3.097281575202942,0.04634435010466121
95,80,ex_80,1,cosine,,sheppard,IG,0.503537784210385,0.01794921245686338,3.142899441719055,0.07583926261341505
96,103,ex_103,7,cosine,,IDW,relieff,0.46225908190646725,0.012521918823164715,3.4013821363449095,0.18270686261843547
97,100,ex_100,7,cosine,,majority,relieff,0.4621688333737148,0.012662741100226256,3.142974853515625,0.10821135117795122
98,106,ex_106,7,cosine,,sheppard,relieff,0.4621688333737148,0.012662741100226256,3.1388022899627686,0.10009245105870211
99,94,ex_94,5,cosine,,IDW,relieff,0.44796862518310665,0.009135350840283066,3.2610237121582033,0.05087785337614238
100,97,ex_97,5,cosine,,sheppard,relieff,0.44760457462010084,0.00963056774437278,3.208047103881836,0.10937623265626299
101,91,ex_91,5,cosine,,majority,relieff,0.44760457462010084,0.00963056774437278,3.121209669113159,0.047344598760170595
102,85,ex_85,3,cosine,,IDW,relieff,0.4416933193075421,0.00931497733232582,3.3922973394393923,0.04504039864502577
103,82,ex_82,3,cosine,,majority,relieff,0.4400543886435626,0.009074691807337084,3.2186031103134156,0.10358328368165233
104,88,ex_88,3,cosine,,sheppard,relieff,0.4400543886435626,0.009074691807337084,3.1093425035476683,0.04144970437780945
105,76,ex_76,1,cosine,,IDW,relieff,0.4270382337283537,0.0116252805849824,3.4732165575027465,0.23692172523559157
106,73,ex_73,1,cosine,,majority,relieff,0.4270382337283537,0.0116252805849824,3.076535964012146,0.03659843279077278
107,79,ex_79,1,cosine,,sheppard,relieff,0.4270382337283537,0.0116252805849824,3.1711107969284056,0.072065657098248
